x,wave
-200.0,3.088409847837565e-14 - 1.360472434528428e-16im
-199.98000000000002,3.0888884744294354e-14 - 1.4768900897011852e-16im
-199.95999999999998,3.0888082895454756e-14 - 1.3673455256819387e-16im
-199.94,3.086874726686743e-14 - 1.2730496538401595e-16im
-199.92000000000002,3.087608871302144e-14 - 1.2623599698017822e-16im
-199.9,3.085680743569437e-14 - 1.1498487197212954e-16im
-199.88,3.087619674453874e-14 - 1.1601374007066848e-16im
-199.86,3.089828482830601e-14 - 9.885833197786745e-17im
-199.84,3.088074883033609e-14 - 1.1720609181141256e-16im
-199.82,3.087787492357459e-14 - 8.172991079554136e-17im
-199.8,3.0903856838987197e-14 - 1.0165876912975511e-16im
-199.77999999999997,3.09029415906046e-14 - 7.121297338903688e-17im
-199.76,3.091053130794743e-14 - 9.586439427441571e-17im
-199.74,3.0926515275485554e-14 - 9.222656083927619e-17im
-199.72,3.092245302203374e-14 - 6.128580586910484e-17im
-199.7,3.0939387801124753e-14 - 8.023626812771146e-17im
-199.68,3.0936250861103744e-14 - 5.93245368683285e-17im
-199.66,3.098759535596331e-14 - 7.440148629763606e-17im
-199.64,3.097735249191606e-14 - 5.502626852074194e-17im
-199.62,3.0999659993734e-14 - 6.807369534119546e-17im
-199.60000000000002,3.1004095324972274e-14 - 5.73841109048576e-17im
-199.57999999999998,3.101748586509195e-14 - 6.152961069279744e-17im
-199.56,3.102918950313402e-14 - 3.6367807988490455e-17im
-199.54000000000002,3.103507285930606e-14 - 5.520913786514918e-17im
-199.51999999999998,3.104673757916177e-14 - 6.833773510553166e-17im
-199.5,3.1079482535958735e-14 - 6.150547554597794e-17im
-199.48000000000002,3.1116286391191457e-14 - 7.17357582829813e-17im
-199.46,3.1118946247927993e-14 - 6.275263986168826e-17im
-199.44,3.1130468715102537e-14 - 1.907920051568588e-17im
-199.42000000000002,3.115746518737328e-14 - 7.044573363703726e-17im
-199.4,3.120932702571012e-14 - 4.7438333530188535e-17im
-199.38,3.122380190702209e-14 - 3.5476946378911077e-17im
-199.35999999999999,3.124775537972164e-14 - 4.937415683099491e-17im
-199.33999999999997,3.124100374539191e-14 - 3.005679211237617e-17im
-199.32,3.130590250515514e-14 - 3.8629654975438765e-17im
-199.3,3.131502747784945e-14 - 1.0364693068117958e-17im
-199.27999999999997,3.137328129279382e-14 - 3.767238501661759e-17im
-199.26,3.14104736588869e-14 - 2.0061570188445306e-17im
-199.24,3.1412705415573516e-14 - 3.786412418474737e-17im
-199.22,3.143831693721252e-14 - 4.720151133368178e-17im
-199.2,3.148013855447245e-14 - 4.257695718932319e-17im
-199.18,3.15265827128671e-14 - 3.91668349851882e-17im
-199.16000000000003,3.1578437841171806e-14 - 3.4338505552565693e-17im
-199.14,3.159025823377294e-14 - 3.135321225769463e-17im
-199.12,3.162881676240779e-14 - 7.09866880398601e-18im
-199.10000000000002,3.1674657017910696e-14 - 1.7511003100230703e-17im
-199.08,3.1691479068461925e-14 - 2.568306735659681e-17im
-199.06,3.1764078932101366e-14 - 4.422447976587143e-17im
-199.04000000000002,3.179519871911632e-14 - 1.8608261104374986e-17im
-199.02,3.183770543065677e-14 - 3.4418942062730375e-17im
-199.0,3.1854017518766083e-14 - 3.8908708436667017e-17im
-198.98,3.193901886378917e-14 - 4.174512289364204e-17im
-198.95999999999998,3.196263951889504e-14 - 3.752673538168435e-17im
-198.94,3.201930171421806e-14 - 4.4125548729646984e-17im
-198.92,3.205293776328196e-14 - 3.5468978215756073e-17im
-198.89999999999998,3.2103959505596053e-14 - 3.5921611820660875e-17im
-198.88,3.214222010880431e-14 - 3.868874519588821e-17im
-198.86,3.220471734806804e-14 - 5.960383147133643e-17im
-198.83999999999997,3.2245074165313866e-14 - 6.715362412299788e-17im
-198.82,3.230764655693745e-14 - 5.961989361074888e-17im
-198.8,3.236737121092484e-14 - 6.081625040192086e-17im
-198.77999999999997,3.239377116133918e-14 - 5.608500674668692e-17im
-198.76,3.2467348676660036e-14 - 5.526915071501658e-17im
-198.74,3.250814097499114e-14 - 5.4824820774873296e-17im
-198.72000000000003,3.256976993609717e-14 - 5.5382843821928176e-17im
-198.7,3.262641267232701e-14 - 6.067907218255243e-17im
-198.68,3.2662552234378815e-14 - 8.114706062960354e-17im
-198.66000000000003,3.2767760170159754e-14 - 6.739573046980742e-17im
-198.64000000000001,3.2787264891556767e-14 - 6.434602086648332e-17im
-198.62,3.2851310806236214e-14 - 7.867344922238591e-17im
-198.60000000000002,3.2918835201572126e-14 - 8.271104330612673e-17im
-198.57999999999998,3.296692935686767e-14 - 7.482717492976672e-17im
-198.56,3.302283801558243e-14 - 8.20697319852517e-17im
-198.54,3.3093298720978655e-14 - 7.929236581102532e-17im
-198.51999999999998,3.318254617433393e-14 - 1.15446689933513e-16im
-198.5,3.3246687371469634e-14 - 9.408119275130322e-17im
-198.48000000000002,3.3307897626570715e-14 - 9.446735510041498e-17im
-198.45999999999998,3.3379165548832245e-14 - 1.0258230020826999e-16im
-198.44,3.3457746064109627e-14 - 9.357961784954638e-17im
-198.42000000000002,3.348359310787641e-14 - 8.87332971432739e-17im
-198.39999999999998,3.3560022386852743e-14 - 1.0749823749789667e-16im
-198.38,3.3651068799822213e-14 - 1.0741897524335484e-16im
-198.36,3.373668075776917e-14 - 1.1664770180947554e-16im
-198.34,3.3796983145522994e-14 - 1.4595167025450749e-16im
-198.32,3.3857575406664854e-14 - 1.3285611992236786e-16im
-198.3,3.392877622860509e-14 - 1.4485810276803501e-16im
-198.28,3.402476793525475e-14 - 1.479343169982747e-16im
-198.26,3.410370542424147e-14 - 1.2577586176903998e-16im
-198.24,3.4153948131825215e-14 - 1.4806516262481997e-16im
-198.22000000000003,3.4253041886328823e-14 - 1.525623939095018e-16im
-198.20000000000002,3.4335486038106955e-14 - 1.4468204830001034e-16im
-198.17999999999998,3.4410488764252335e-14 - 1.6581093297421745e-16im
-198.16,3.448003287925953e-14 - 1.718055079288262e-16im
-198.14,3.4571708022239636e-14 - 1.9646663739194388e-16im
-198.12,3.464270620120952e-14 - 1.8908870543822554e-16im
-198.1,3.474613061045017e-14 - 1.7931873090537626e-16im
-198.07999999999998,3.481534526287976e-14 - 2.0081348008150032e-16im
-198.06,3.491142352894391e-14 - 2.2609260350383947e-16im
-198.04000000000002,3.499358518836935e-14 - 2.364633775385757e-16im
-198.01999999999998,3.5089004529278287e-14 - 2.218833164729588e-16im
-198.0,3.518383674237579e-14 - 2.0945365295437226e-16im
-197.98000000000002,3.526594941856668e-14 - 2.334075450309325e-16im
-197.95999999999998,3.534249478109887e-14 - 2.582103400474059e-16im
-197.94,3.543480939014101e-14 - 2.665345542823317e-16im
-197.92000000000002,3.553591950929984e-14 - 2.504975774903743e-16im
-197.9,3.563239098324684e-14 - 2.537423812778935e-16im
-197.88,3.569393808196088e-14 - 2.588878855417858e-16im
-197.86,3.58305597041641e-14 - 2.848522709954549e-16im
-197.84,3.591708087146474e-14 - 2.9327864546956793e-16im
-197.82,3.599314780870603e-14 - 2.9930752546344403e-16im
-197.8,3.6086905745659445e-14 - 3.171521849113651e-16im
-197.77999999999997,3.6188923732165535e-14 - 3.0113835773025804e-16im
-197.76,3.632347061243399e-14 - 2.9860532060098445e-16im
-197.74,3.6435035632655394e-14 - 3.2028874749307873e-16im
-197.72,3.652635581493579e-14 - 3.517582110574347e-16im
-197.7,3.6621215539165036e-14 - 3.4755395655065197e-16im
-197.68,3.672580413898033e-14 - 3.697679792334676e-16im
-197.66,3.6842074233731663e-14 - 3.5469686962899866e-16im
-197.64,3.694152563294784e-14 - 3.7983768251404734e-16im
